,Corr,Cond,Pred Model,Param
0,0.25366486761670726,DUSP9/ETS2 all,Mult,b
1,0.2568532104522441,DUSP9/ETS2 all,Mult,beta
2,0.290686012439128,DUSP9/ETS2 all,Mult,gamma
3,0.6194061621755204,DUSP9/ETS2 RF,Mult,b
4,0.6812033554499316,DUSP9/ETS2 RF,Mult,beta
5,0.7034215002170672,DUSP9/ETS2 RF,Mult,gamma
6,0.1799310964546944,DUSP9/ETS2 all,Mult Neg,b
7,0.18113829145132487,DUSP9/ETS2 all,Mult Neg,beta
8,0.21500256181573246,DUSP9/ETS2 all,Mult Neg,gamma
9,0.3589400793535635,DUSP9/ETS2 RF,Mult Neg,b
10,0.3900970345273283,DUSP9/ETS2 RF,Mult Neg,beta
11,0.3386610725449836,DUSP9/ETS2 RF,Mult Neg,gamma
12,0.1407258292941659,DUSP9/ETS2 all,Add,b
13,0.16365721389888926,DUSP9/ETS2 all,Add,beta
14,0.18345408419388073,DUSP9/ETS2 all,Add,gamma
15,0.6501636176300961,DUSP9/ETS2 RF,Add,b
16,0.6391898482317396,DUSP9/ETS2 RF,Add,beta
17,0.6580749297062265,DUSP9/ETS2 RF,Add,gamma
18,0.09377113187953354,DUSP9/ETS2 all,Add Neg,b
19,0.026045781641561013,DUSP9/ETS2 all,Add Neg,beta
20,0.0231006015770016,DUSP9/ETS2 all,Add Neg,gamma
21,0.21389462375763096,DUSP9/ETS2 RF,Add Neg,b
22,0.321414459278665,DUSP9/ETS2 RF,Add Neg,beta
23,0.19687702544921923,DUSP9/ETS2 RF,Add Neg,gamma
24,0.30764657243265564,DUSP9/ETS2 logreg,Mult,b
25,0.42132792142868697,DUSP9/ETS2 logreg,Mult,beta
26,0.4257482007388893,DUSP9/ETS2 logreg,Mult,gamma
27,0.18395321584942634,CBL/CNN1 all,Mult,b
28,0.21355370913079644,CBL/CNN1 all,Mult,beta
29,0.2472250017550463,CBL/CNN1 all,Mult,gamma
30,0.5238382132858139,CBL/CNN1 RF,Mult,b
31,0.701131273013629,CBL/CNN1 RF,Mult,beta
32,0.7568940531360261,CBL/CNN1 RF,Mult,gamma
33,0.11299506085483023,CBL/CNN1 all,Mult Neg,b
34,0.10853478441901726,CBL/CNN1 all,Mult Neg,beta
35,0.12395202146283367,CBL/CNN1 all,Mult Neg,gamma
36,0.09199814883719644,CBL/CNN1 RF,Mult Neg,b
37,0.09585816819603095,CBL/CNN1 RF,Mult Neg,beta
38,0.1578902835312689,CBL/CNN1 RF,Mult Neg,gamma
39,0.15239338603845448,CBL/CNN1 all,Add,b
40,0.16256916874373167,CBL/CNN1 all,Add,beta
41,0.17125484192740034,CBL/CNN1 all,Add,gamma
42,0.5281087483770299,CBL/CNN1 RF,Add,b
43,0.4324141522723778,CBL/CNN1 RF,Add,beta
44,0.44766955590187024,CBL/CNN1 RF,Add,gamma
45,0.06259061337163759,CBL/CNN1 all,Add Neg,b
46,0.005474773446207796,CBL/CNN1 all,Add Neg,beta
47,0.01146963226428926,CBL/CNN1 all,Add Neg,gamma
48,0.03270050939792653,CBL/CNN1 RF,Add Neg,b
49,0.056718648620948935,CBL/CNN1 RF,Add Neg,beta
50,0.10772630361568318,CBL/CNN1 RF,Add Neg,gamma
51,0.32028165672556264,CBL/CNN1 logreg,Mult,b
52,0.3615079815409518,CBL/CNN1 logreg,Mult,beta
53,0.39126750723512393,CBL/CNN1 logreg,Mult,gamma
54,0.17777995031419044,DUSP9/MAPK1 all,Mult,b
55,0.17982883695334664,DUSP9/MAPK1 all,Mult,beta
56,0.1910302023922882,DUSP9/MAPK1 all,Mult,gamma
57,0.40485502022366415,DUSP9/MAPK1 RF,Mult,b
58,0.32242632056790416,DUSP9/MAPK1 RF,Mult,beta
59,0.36470157162050737,DUSP9/MAPK1 RF,Mult,gamma
60,0.13116685749558896,DUSP9/MAPK1 all,Mult Neg,b
61,0.14266990276244343,DUSP9/MAPK1 all,Mult Neg,beta
62,0.1509945817178154,DUSP9/MAPK1 all,Mult Neg,gamma
63,0.3514409644529289,DUSP9/MAPK1 RF,Mult Neg,b
64,0.3326691524769094,DUSP9/MAPK1 RF,Mult Neg,beta
65,0.3254877720554213,DUSP9/MAPK1 RF,Mult Neg,gamma
66,0.08694706842801508,DUSP9/MAPK1 all,Add,b
67,0.061400815693425065,DUSP9/MAPK1 all,Add,beta
68,0.05627617131767141,DUSP9/MAPK1 all,Add,gamma
69,0.33331077222871364,DUSP9/MAPK1 RF,Add,b
70,0.16510658223481395,DUSP9/MAPK1 RF,Add,beta
71,0.12269199176379716,DUSP9/MAPK1 RF,Add,gamma
72,0.05823806892671387,DUSP9/MAPK1 all,Add Neg,b
73,0.018325295689256553,DUSP9/MAPK1 all,Add Neg,beta
74,0.016703196570615968,DUSP9/MAPK1 all,Add Neg,gamma
75,0.001160091012905942,DUSP9/MAPK1 RF,Add Neg,b
76,0.04332151426383252,DUSP9/MAPK1 RF,Add Neg,beta
77,0.08091579484883624,DUSP9/MAPK1 RF,Add Neg,gamma
78,0.2908863455571084,DUSP9/MAPK1 logreg,Mult,b
79,0.14145795634132727,DUSP9/MAPK1 logreg,Mult,beta
80,0.21287170342879552,DUSP9/MAPK1 logreg,Mult,gamma
81,0.25587569663707854,ETS2/MAPK1 all,Mult,b
82,0.2695361050790096,ETS2/MAPK1 all,Mult,beta
83,0.3089060881825507,ETS2/MAPK1 all,Mult,gamma
84,0.5571780451069842,ETS2/MAPK1 RF,Mult,b
85,0.6791755160615446,ETS2/MAPK1 RF,Mult,beta
86,0.7382819639305617,ETS2/MAPK1 RF,Mult,gamma
87,0.15113456832293323,ETS2/MAPK1 all,Mult Neg,b
88,0.1494185752758409,ETS2/MAPK1 all,Mult Neg,beta
89,0.13778051271865624,ETS2/MAPK1 all,Mult Neg,gamma
90,-0.3082050162329336,ETS2/MAPK1 RF,Mult Neg,b
91,-0.10163087235387974,ETS2/MAPK1 RF,Mult Neg,beta
92,-0.04661630291285512,ETS2/MAPK1 RF,Mult Neg,gamma
93,0.14768339175739983,ETS2/MAPK1 all,Add,b
94,0.15058468464810673,ETS2/MAPK1 all,Add,beta
95,0.19864489365997642,ETS2/MAPK1 all,Add,gamma
96,0.2597746755562778,ETS2/MAPK1 RF,Add,b
97,0.4979827951639566,ETS2/MAPK1 RF,Add,beta
98,0.5510742299818704,ETS2/MAPK1 RF,Add,gamma
99,0.037135588104700204,ETS2/MAPK1 all,Add Neg,b
100,-0.02322890869636318,ETS2/MAPK1 all,Add Neg,beta
101,-0.026166764794190552,ETS2/MAPK1 all,Add Neg,gamma
102,0.27976870581053054,ETS2/MAPK1 RF,Add Neg,b
103,-0.15350156573421708,ETS2/MAPK1 RF,Add Neg,beta
104,-0.07935537266995943,ETS2/MAPK1 RF,Add Neg,gamma
105,0.3440338572633137,ETS2/MAPK1 logreg,Mult,b
106,0.32315617349460285,ETS2/MAPK1 logreg,Mult,beta
107,0.34675477043094227,ETS2/MAPK1 logreg,Mult,gamma
