,Corr,Cond,Pred Model,Param
0,0.37482513542460805,"high BMP4,high RA all",Mult Neg,b
1,0.39889899890644964,"high BMP4,high RA all",Mult Neg,beta
2,0.4469973386941716,"high BMP4,high RA all",Mult Neg,gamma
3,0.23277056859047784,"high BMP4,high RA RF",Mult Neg,b
4,0.401910609168868,"high BMP4,high RA RF",Mult Neg,beta
5,0.35728826648433576,"high BMP4,high RA RF",Mult Neg,gamma
6,0.49898202585300855,"high BMP4,high RA all",Mult,b
7,0.5571380098587346,"high BMP4,high RA all",Mult,beta
8,0.44547159942346226,"high BMP4,high RA all",Mult,gamma
9,0.4962410412174007,"high BMP4,high RA RF",Mult,b
10,0.6306105289443847,"high BMP4,high RA RF",Mult,beta
11,0.4052523203636531,"high BMP4,high RA RF",Mult,gamma
12,0.08734359613305147,"high BMP4,high RA all",Add Neg,b
13,0.4409024957395673,"high BMP4,high RA all",Add Neg,beta
14,-0.07677329667546418,"high BMP4,high RA all",Add Neg,gamma
15,-0.1481948555561828,"high BMP4,high RA RF",Add Neg,b
16,0.17564184797833196,"high BMP4,high RA RF",Add Neg,beta
17,-0.14979327583595714,"high BMP4,high RA RF",Add Neg,gamma
18,-0.1481948555561828,"high BMP4,high RA all",Add,b
19,0.17564184797833196,"high BMP4,high RA all",Add,beta
20,-0.14979327583595714,"high BMP4,high RA all",Add,gamma
21,-0.1481948555561828,"high BMP4,high RA RF",Add,b
22,0.17564184797833196,"high BMP4,high RA RF",Add,beta
23,-0.14979327583595714,"high BMP4,high RA RF",Add,gamma
24,0.33612755500964375,"high BMP4,high RA logreg",Mult,b
25,0.3960457363725542,"high BMP4,high RA logreg",Mult,beta
26,0.14541092253336801,"high BMP4,high RA logreg",Mult,gamma
27,0.5203516128751714,"mid BMP4,mid RA all",Mult Neg,b
28,0.43161359686391604,"mid BMP4,mid RA all",Mult Neg,beta
29,0.5141291765629631,"mid BMP4,mid RA all",Mult Neg,gamma
30,0.4605909753159341,"mid BMP4,mid RA RF",Mult Neg,b
31,0.5051767993470552,"mid BMP4,mid RA RF",Mult Neg,beta
32,0.4852119083413747,"mid BMP4,mid RA RF",Mult Neg,gamma
33,0.674051152757789,"mid BMP4,mid RA all",Mult,b
34,0.5933595477451377,"mid BMP4,mid RA all",Mult,beta
35,0.6701242615076277,"mid BMP4,mid RA all",Mult,gamma
36,0.6053867209402614,"mid BMP4,mid RA RF",Mult,b
37,0.5851655435633418,"mid BMP4,mid RA RF",Mult,beta
38,0.6202618524386583,"mid BMP4,mid RA RF",Mult,gamma
39,0.1728999784137589,"mid BMP4,mid RA all",Add Neg,b
40,0.40564960360650243,"mid BMP4,mid RA all",Add Neg,beta
41,0.1990470467552744,"mid BMP4,mid RA all",Add Neg,gamma
42,0.32733873088530807,"mid BMP4,mid RA RF",Add Neg,b
43,0.2560427287832028,"mid BMP4,mid RA RF",Add Neg,beta
44,0.17348416928966498,"mid BMP4,mid RA RF",Add Neg,gamma
45,0.35020413599683875,"mid BMP4,mid RA all",Add,b
46,0.27826062908969534,"mid BMP4,mid RA all",Add,beta
47,0.3642024539695265,"mid BMP4,mid RA all",Add,gamma
48,0.5759178655685528,"mid BMP4,mid RA RF",Add,b
49,0.5073639690262192,"mid BMP4,mid RA RF",Add,beta
50,0.36777933447385786,"mid BMP4,mid RA RF",Add,gamma
51,0.7582834579961025,"mid BMP4,mid RA logreg",Mult,b
52,0.537542883793642,"mid BMP4,mid RA logreg",Mult,beta
53,0.7552005471553686,"mid BMP4,mid RA logreg",Mult,gamma
54,0.48897675309572824,"low EGF,high RA all",Mult Neg,b
55,0.5168488415855396,"low EGF,high RA all",Mult Neg,beta
56,0.4793756802207077,"low EGF,high RA all",Mult Neg,gamma
57,0.33626920711188524,"low EGF,high RA RF",Mult Neg,b
58,0.5265130599558737,"low EGF,high RA RF",Mult Neg,beta
59,0.3706268049752342,"low EGF,high RA RF",Mult Neg,gamma
60,0.5760495181957036,"low EGF,high RA all",Mult,b
61,0.5922610363515562,"low EGF,high RA all",Mult,beta
62,0.5961689547475256,"low EGF,high RA all",Mult,gamma
63,0.4177805167374751,"low EGF,high RA RF",Mult,b
64,0.5794791382817093,"low EGF,high RA RF",Mult,beta
65,0.5275310898884676,"low EGF,high RA RF",Mult,gamma
66,0.13734805995625773,"low EGF,high RA all",Add Neg,b
67,0.44051924340216275,"low EGF,high RA all",Add Neg,beta
68,0.1655892522035895,"low EGF,high RA all",Add Neg,gamma
69,0.01271462904140842,"low EGF,high RA RF",Add Neg,b
70,-0.1093246297450842,"low EGF,high RA RF",Add Neg,beta
71,0.02733927123929959,"low EGF,high RA RF",Add Neg,gamma
72,0.45419723914893817,"low EGF,high RA all",Add,b
73,0.5790974195156519,"low EGF,high RA all",Add,beta
