,Corr,Cond,Pred Model,Param
0,0.49840862015595516,PMVKa/sgFDPSb all,Mult,b
1,0.5190230812736358,PMVKa/sgFDPSb all,Mult,beta
2,0.510981485472729,PMVKa/sgFDPSb all,Mult,gamma
3,0.4641034140983113,PMVKa/sgFDPSb RF,Mult,b
4,0.4844921722637817,PMVKa/sgFDPSb RF,Mult,beta
5,0.4575982985295068,PMVKa/sgFDPSb RF,Mult,gamma
6,0.4309160365829644,PMVKa/sgFDPSb all,Mult Neg,b
7,0.46714360958339524,PMVKa/sgFDPSb all,Mult Neg,beta
8,0.45454855930417365,PMVKa/sgFDPSb all,Mult Neg,gamma
9,0.3503827550756445,PMVKa/sgFDPSb RF,Mult Neg,b
10,0.4190946350406929,PMVKa/sgFDPSb RF,Mult Neg,beta
11,0.34049769437802646,PMVKa/sgFDPSb RF,Mult Neg,gamma
12,0.2784961293887715,PMVKa/sgFDPSb all,Add,b
13,0.3035368953100376,PMVKa/sgFDPSb all,Add,beta
14,0.27534535234098856,PMVKa/sgFDPSb all,Add,gamma
15,0.15858382932125561,PMVKa/sgFDPSb RF,Add,b
16,0.18153550742934116,PMVKa/sgFDPSb RF,Add,beta
17,0.09997441316779784,PMVKa/sgFDPSb RF,Add,gamma
18,0.15858382932125561,PMVKa/sgFDPSb all,Add Neg,b
19,0.18153550742934116,PMVKa/sgFDPSb all,Add Neg,beta
20,0.09997441316779784,PMVKa/sgFDPSb all,Add Neg,gamma
21,0.15858382932125561,PMVKa/sgFDPSb RF,Add Neg,b
22,0.18153550742934116,PMVKa/sgFDPSb RF,Add Neg,beta
23,0.09997441316779784,PMVKa/sgFDPSb RF,Add Neg,gamma
24,0.5729135578269874,HUS12a/FDPS2b all,Mult,b
25,0.5655550716177818,HUS12a/FDPS2b all,Mult,beta
26,0.5688514361611288,HUS12a/FDPS2b all,Mult,gamma
27,0.7122663671334715,HUS12a/FDPS2b RF,Mult,b
28,0.6625781013496983,HUS12a/FDPS2b RF,Mult,beta
29,0.7567986148643613,HUS12a/FDPS2b RF,Mult,gamma
30,0.4340809259901558,HUS12a/FDPS2b all,Mult Neg,b
31,0.46768184347064234,HUS12a/FDPS2b all,Mult Neg,beta
32,0.45625696377402136,HUS12a/FDPS2b all,Mult Neg,gamma
33,0.4340809259901558,HUS12a/FDPS2b RF,Mult Neg,b
34,0.46768184347064234,HUS12a/FDPS2b RF,Mult Neg,beta
35,0.45625696377402136,HUS12a/FDPS2b RF,Mult Neg,gamma
36,0.38290976522649706,HUS12a/FDPS2b all,Add,b
37,0.3262290956825464,HUS12a/FDPS2b all,Add,beta
38,0.3219461938755833,HUS12a/FDPS2b all,Add,gamma
39,0.6251362933881653,HUS12a/FDPS2b RF,Add,b
40,0.379665555421662,HUS12a/FDPS2b RF,Add,beta
41,0.49238123542329587,HUS12a/FDPS2b RF,Add,gamma
42,0.2581694933555858,HUS12a/FDPS2b all,Add Neg,b
43,0.2962364036029648,HUS12a/FDPS2b all,Add Neg,beta
44,0.272107080095964,HUS12a/FDPS2b all,Add Neg,gamma
45,0.23234620266156839,HUS12a/FDPS2b RF,Add Neg,b
46,0.33465300344791127,HUS12a/FDPS2b RF,Add Neg,beta
47,0.2381781350077007,HUS12a/FDPS2b RF,Add Neg,gamma
48,0.6774310445580463,PMVKa/sgFDPSb logreg,Mult,b
49,0.6946681523743403,PMVKa/sgFDPSb logreg,Mult,beta
50,0.6855977295698052,PMVKa/sgFDPSb logreg,Mult,gamma
51,0.5686486996892225,HUS12a/FDPS2b logreg,Mult,b
52,0.5473488806162983,HUS12a/FDPS2b logreg,Mult,beta
53,0.5943412688604214,HUS12a/FDPS2b logreg,Mult,gamma
